Event;Gender;Date;Time;Athlete;Country;Meet;City;Nation
4x100m freestyle;Mixed;29/07/2017;3:19.60;COMERFORD, Mallory;USA;World Championships;Budapest;HUN
4x100m freestyle;Mixed;29/07/2017;3:19.60;MANUEL, Simone;USA;World Championships;Budapest;HUN
4x100m freestyle;Mixed;27/07/2019;3:19.40;DRESSEL, Caeleb;USA;World Championships;Gwangju;KOR
4x100m freestyle;Mixed;27/07/2019;3:19.40;APPLE, Zach;USA;World Championships;Gwangju;KOR
4x100m freestyle;Mixed;27/07/2019;3:19.40;COMERFORD, Mallory;USA;World Championships;Gwangju;KOR
4x100m freestyle;Mixed;27/07/2019;3:19.40;MANUEL, Simone;USA;World Championships;Gwangju;KOR
4x100m freestyle;Mixed;24/06/2022;3:19.38;CARTWRIGHT, Jack;AUS;World Championships;Budapest;HUN
4x100m freestyle;Mixed;24/06/2022;3:19.38;CHALMERS, Kyle;AUS;World Championships;Budapest;HUN
4x100m freestyle;Mixed;24/06/2022;3:19.38;WILSON, Madison;AUS;World Championships;Budapest;HUN
4x100m freestyle;Mixed;24/06/2022;3:19.38;O'CALLAGHAN, Mollie;AUS;World Championships;Budapest;HUN
4x100m freestyle;Mixed;29/07/2023;3:18.83;CARTWRIGHT, Jack;AUS;World Championships;Fukuoka;JPN
4x100m freestyle;Mixed;29/07/2023;3:18.83;CHALMERS, Kyle;AUS;World Championships;Fukuoka;JPN
4x100m freestyle;Mixed;29/07/2023;3:18.83;JACK, Shayna;AUS;World Championships;Fukuoka;JPN
4x100m freestyle;Mixed;29/07/2023;3:18.83;O'CALLAGHAN, Mollie;AUS;World Championships;Fukuoka;JPN
4x100m medley;Mixed;26/09/2013;4:13.47;DAY, Allie;USA;Indiana University Fall Frenzy;Bloomington, Indiana;USA
4x100m medley;Mixed;26/09/2013;4:13.47;HURLEY, Mike;USA;Indiana University Fall Frenzy;Bloomington, Indiana;USA
4x100m medley;Mixed;26/09/2013;4:13.47;KURZ, Tanner Jacob;USA;Indiana University Fall Frenzy;Bloomington, Indiana;USA
4x100m medley;Mixed;26/09/2013;4:13.47;LIPS, Haley;USA;Indiana University Fall Frenzy;Bloomington, Indiana;USA
4x100m medley;Mixed;16/05/2014;3:48.74;SHABASOV, Andrei;RUS;Russian National Championships;Moskva (Moscow);RUS
4x100m medley;Mixed;16/05/2014;3:48.74;POPOVA, Veronika;RUS;Russian National Championships;Moskva (Moscow);RUS
4x100m medley;Mixed;16/05/2014;3:48.74;NIKOLAEV, Andrei;RUS;Russian National Championships;Moskva (Moscow);RUS
4x100m medley;Mixed;16/05/2014;3:48.74;USTINOVA, Daria K;RUS;Russian National Championships;Moskva (Moscow);RUS
4x100m medley;Mixed;19/08/2014;3:44.02;WALKER-HEBBORN, Chris;GBR;European Championships;Berlin;GER
4x100m medley;Mixed;19/08/2014;3:44.02;PEATY, Adam;GBR;European Championships;Berlin;GER
4x100m medley;Mixed;19/08/2014;3:44.02;LOWE, Jemma;GBR;European Championships;Berlin;GER
4x100m medley;Mixed;19/08/2014;3:44.02;HALSALL, Fran;GBR;European Championships;Berlin;GER
4x100m medley;Mixed;05/08/2015;3:41.71;WALKER-HEBBORN, Chris;GBR;World Championships;Kazan;RUS
4x100m medley;Mixed;05/08/2015;3:41.71;PEATY, Adam;GBR;World Championships;Kazan;RUS
4x100m medley;Mixed;05/08/2015;3:41.71;O'CONNOR, Siobhan;GBR;World Championships;Kazan;RUS
4x100m medley;Mixed;05/08/2015;3:41.71;HALSALL, Fran;GBR;World Championships;Kazan;RUS
4x100m medley;Mixed;26/07/2017;3:40.28;MURPHY, Ryan;USA;World Championships;Budapest;HUN
4x100m medley;Mixed;26/07/2017;3:40.28;CORDES, Kevin;USA;World Championships;Budapest;HUN
4x100m medley;Mixed;26/07/2017;3:40.28;DAHLIA, Kelsi;USA;World Championships;Budapest;HUN
4x100m medley;Mixed;26/07/2017;3:40.28;COMERFORD, Mallory;USA;World Championships;Budapest;HUN
4x100m medley;Mixed;26/07/2017;3:38.56;GREVERS, Matt;USA;World Championships;Budapest;HUN
4x100m medley;Mixed;26/07/2017;3:38.56;KING, Lilly;USA;World Championships;Budapest;HUN
4x100m medley;Mixed;26/07/2017;3:38.56;DRESSEL, Caeleb;USA;World Championships;Budapest;HUN
4x100m medley;Mixed;26/07/2017;3:38.56;MANUEL, Simone;USA;World Championships;Budapest;HUN
4x100m medley;Mixed;01/10/2020;3:38.41;XU, Jiayu;CHN;Chinese Championships;Qingdao;CHN
4x100m medley;Mixed;01/10/2020;3:38.41;YAN, Zibei;CHN;Chinese Championships;Qingdao;CHN
4x100m medley;Mixed;01/10/2020;3:38.41;ZHANG, Yufei;CHN;Chinese Championships;Qingdao;CHN
4x100m medley;Mixed;01/10/2020;3:38.41;YANG, Junxuan;CHN;Chinese Championships;Qingdao;CHN
4x100m medley;Mixed;31/07/2021;3:37.58;DAWSON, Kathleen;GBR;Olympic Games;Tokyo;JPN
4x100m medley;Mixed;31/07/2021;3:37.58;PEATY, Adam;GBR;Olympic Games;Tokyo;JPN
4x100m medley;Mixed;31/07/2021;3:37.58;GUY, James;GBR;Olympic Games;Tokyo;JPN
4x100m medley;Mixed;31/07/2021;3:37.58;HOPKIN, Anna;GBR;Olympic Games;Tokyo;JPN
4x100m medley;Mixed;03/08/2024;3:37.43;MURPHY, Ryan;USA;Olympic Games;Paris;FRA
4x100m medley;Mixed;03/08/2024;3:37.43;FINK, Nic;USA;Olympic Games;Paris;FRA
4x100m medley;Mixed;03/08/2024;3:37.43;WALSH, Gretchen;USA;Olympic Games;Paris;FRA
4x100m medley;Mixed;03/08/2024;3:37.43;HUSKE, Torri;USA;Olympic Games;Paris;FRA
50m freestyle;Men;13/08/1987;22.32;JAGER, Tom;USA;Pan Pacific Championships;Brisbane, Queensland;AUS
50m freestyle;Men;25/03/1988;22.23;JAGER, Tom;USA;USA Spring Nationals;Orlando, Florida;USA
50m freestyle;Men;10/04/1988;22.18;WILLIAMS, Peter;RSA;CSCA Invitational;Indianapolis, Indiana;USA
50m freestyle;Men;24/09/1988;22.14;BIONDI, Matt;USA;Olympic Games;Seoul;KOR
50m freestyle;Men;20/08/1989;22.12;JAGER, Tom;USA;Pan Pacific Championships;Tokyo;JPN
50m freestyle;Men;24/03/1990;21.98;JAGER, Tom;USA;USA Spring Nationals;Nashville, Tennessee;USA
50m freestyle;Men;24/03/1990;21.81;JAGER, Tom;USA;USA Spring Nationals;Nashville, Tennessee;USA
50m freestyle;Men;01/06/2000;21.64;POPOV, Alexander;RUS;Russian Olympic Trials;Moskva (Moscow);RUS
50m freestyle;Men;17/02/2008;21.56;SULLIVAN, Eamon;AUS;New South Wales State Championships;Sydney, New South Wales;AUS
50m freestyle;Men;23/03/2008;21.50;BERNARD, Alain;FRA;European Championships;Eindhoven;NED
50m freestyle;Men;27/03/2008;21.41;SULLIVAN, Eamon;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS
50m freestyle;Men;28/03/2008;21.28;SULLIVAN, Eamon;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS
50m freestyle;Men;26/04/2009;20.94;BOUSQUET, Frederick;FRA;French Championships;Montpellier;FRA
50m freestyle;Men;18/12/2009;20.91;CIELO FILHO, Cesar;BRA;CBDA Open - Brazilian Championships;São Paulo;BRA
100m freestyle;Men;03/12/1905;1:05.8;HALMAY, Zoltan;HUN;;Wien (Vienna);AUT
100m freestyle;Men;20/07/1908;1:05.6;DANIELS, Charlie;USA;Olympic Games;London, Greater London, England;GBR
100m freestyle;Men;15/04/1910;1:02.8;DANIELS, Charlie;USA;Special record attempt;New York, New York;USA
100m freestyle;Men;06/04/1912;1:02.4;BRETTING, Kurt;GER;;Bruxelles (Brussels);BEL
100m freestyle;Men;20/07/1912;1:01.6;KAHANAMOKU, Duke;USA;;Hamburg;GER
100m freestyle;Men;09/08/1918;1:01.4;KAHANAMOKU, Duke;USA;International Exhibition;New York, New York;USA
100m freestyle;Men;24/08/1920;1:00.4;KAHANAMOKU, Duke;USA;Olympic Games;Antwerpen;BEL
100m freestyle;Men;19/07/1922;58.6;WEISSMULLER, Johnny;USA;;Alameda, California;USA
100m freestyle;Men;17/02/1924;57.4;WEISSMULLER, Johnny;USA;;Miami, Florida;USA
100m freestyle;Men;02/03/1934;56.8;FICK, Peter;USA;Yale University Swim Carnival;New Haven, Connecticut;USA
100m freestyle;Men;05/03/1935;56.6;FICK, Peter;USA;Yale University Swim Carnival;New Haven, Connecticut;USA
100m freestyle;Men;11/02/1936;56.4;FICK, Peter;USA;Yale Benefit Event for the United States Olympic team;New Haven, Connecticut;USA
100m freestyle;Men;13/04/1944;55.9;FORD, Alan;USA;Special record attempt;New Haven, Connecticut;USA
100m freestyle;Men;15/09/1947;55.8;JANY, Alex;FRA;;Menton;FRA
100m freestyle;Men;29/06/1948;55.4;FORD, Alan;USA;Yale University Swim Carnival;New Haven, Connecticut;USA
100m freestyle;Men;01/04/1954;54.8;CLEVELAND, Dick;USA;AAU Championships;New Haven, Connecticut;USA
100m freestyle;Men;30/11/1956;55.4;HENRICKS, Jon;AUS;Olympic Games;Melbourne, Victoria;AUS
100m freestyle;Men;19/01/1957;55.2;DEVITT, John;AUS;New South Wales State Championships;Sydney, New South Wales;AUS
100m freestyle;Men;28/01/1957;54.6;DEVITT, John;AUS;Queensland State Championships;Brisbane, Queensland;AUS
100m freestyle;Men;18/08/1961;54.4;CLARK, Steve;USA;Men's NAAA Championships;Los Angeles, California;USA
100m freestyle;Men;20/09/1961;53.6;DOS SANTOS, Manuel;BRA;Special record attempt;Rio de Janeiro;BRA
100m freestyle;Men;13/09/1964;52.9;GOTTVALLES, Alain;FRA;;Budapest;HUN
100m freestyle;Men;14/10/1964;52.9;CLARK, Steve;USA;Olympic Games;Tokyo;JPN
100m freestyle;Men;27/07/1967;52.6;WALSH, Ken;USA;Pan American Games;Winnipeg, Manitoba;CAN
100m freestyle;Men;02/09/1968;52.58;ZORN, Zachary;USA;USA Olympic Trials;Long Beach, California;USA
100m freestyle;Men;19/10/1968;52.2;WENDEN, Mike;AUS;Olympic Games;Ciudad de México;MEX
100m freestyle;Men;23/08/1970;51.94;SPITZ, Mark;USA;AAU Championships;Los Angeles, California;USA
100m freestyle;Men;05/08/1972;51.47;SPITZ, Mark;USA;USA Olympic Trials;Chicago, Illinois;USA
100m freestyle;Men;03/09/1972;51.22;SPITZ, Mark;USA;Olympic Games;München, Bavaria;FRG
100m freestyle;Men;21/06/1975;51.12;MONTGOMERY, Jim;USA;USA World Championship Trials;Long Beach, California;USA
100m freestyle;Men;03/08/1975;51.11;COAN, Andy;USA;AAU Region Four Meet;Fort Lauderdale, Florida;USA
100m freestyle;Men;23/08/1975;50.59;MONTGOMERY, Jim;USA;AAU Championships;Kansas City, Missouri;USA
100m freestyle;Men;24/07/1976;50.39;MONTGOMERY, Jim;USA;Olympic Games;Montréal, Québec;CAN
100m freestyle;Men;25/07/1976;49.99;MONTGOMERY, Jim;USA;Olympic Games;Montréal, Québec;CAN
100m freestyle;Men;14/08/1976;49.44;SKINNER, Jonty;RSA;AAU Championships;Philadelphia, Pennsylvania;USA
100m freestyle;Men;03/04/1981;49.36;GAINES, Rowdy;USA;Longhorn Invitational;Austin, Texas;USA
100m freestyle;Men;06/08/1985;49.24;BIONDI, Matt;USA;USA Summer Nationals;Mission Viejo, California;USA
100m freestyle;Men;06/08/1985;48.95;BIONDI, Matt;USA;USA Summer Nationals;Mission Viejo, California;USA
100m freestyle;Men;24/06/1986;48.74;BIONDI, Matt;USA;USA World Championship Trials;Orlando, Florida;USA
100m freestyle;Men;10/08/1988;48.42;BIONDI, Matt;USA;USA Olympic Trials;Austin, Texas;USA
100m freestyle;Men;18/06/1994;48.21;POPOV, Alexander;RUS;International Swimming Meeting of Monte Carlo;Monte Carlo;MON
100m freestyle;Men;16/09/2000;48.18;KLIM, Michael;AUS;Olympic Games;Sydney, New South Wales;AUS
100m freestyle;Men;19/09/2000;47.84;VAN DEN HOOGENBAND, Pieter;NED;Olympic Games;Sydney, New South Wales;AUS
100m freestyle;Men;21/03/2008;47.60;BERNARD, Alain;FRA;European Championships;Eindhoven;NED
100m freestyle;Men;22/03/2008;47.50;BERNARD, Alain;FRA;European Championships;Eindhoven;NED
100m freestyle;Men;11/08/2008;47.24;SULLIVAN, Eamon;AUS;Olympic Games;Beijing;CHN
100m freestyle;Men;13/08/2008;47.20;BERNARD, Alain;FRA;Olympic Games;Beijing;CHN
100m freestyle;Men;13/08/2008;47.05;SULLIVAN, Eamon;AUS;Olympic Games;Beijing;CHN
100m freestyle;Men;23/04/2009;46.94;BERNARD, Alain;FRA;French Championships;Montpellier;FRA
100m freestyle;Men;30/07/2009;46.91;CIELO FILHO, Cesar;BRA;World Championships;Roma, Lazio;ITA
100m freestyle;Men;13/08/2022;46.86;POPOVICI, David;ROU;European Championships;Roma, Lazio;ITA
100m freestyle;Men;11/02/2024;46.80;PAN, Zhanle;CHN;World Championships;Doha;QAT
100m freestyle;Men;31/07/2024;46.40;PAN, Zhanle;CHN;Olympic Games;Paris;FRA
200m freestyle;Men;18/08/1902;2:28.6;LANE, Fred;AUS;;Weston-super-Mare, Somerset, England;GBR
200m freestyle;Men;28/06/1908;2:26.8;HALMAY, Zoltan;HUN;;Budapest;HUN
200m freestyle;Men;11/11/1908;2:31.6;SCHEFF, Otto;AUT;;Wien (Vienna);AUT
200m freestyle;Men;09/09/1910;2:30.0;BEAUREPAIRE, Frank;AUS;;Exeter, Devonshire, England;GBR
200m freestyle;Men;28/03/1911;2:25.4;DANIELS, Charlie;USA;;Pittsburgh, Pennsylvania;USA
200m freestyle;Men;24/11/1916;2:21.6;ROSS, Norman;USA;;San Francisco, California;USA
200m freestyle;Men;10/04/1920;2:19.8;CANN, Tedford;USA;;Detroit, Michigan;USA
200m freestyle;Men;26/05/1922;2:15.6;WEISSMULLER, Johnny;USA;;Honolulu, Hawaii;USA
200m freestyle;Men;09/12/1925;2:15.2;WEISSMULLER, Johnny;USA;;McKeesport, Pennsylvania;USA
200m freestyle;Men;05/04/1927;2:08.0;WEISSMULLER, Johnny;USA;;Ann Arbor, Michigan;USA
200m freestyle;Men;12/04/1935;2:07.2;MEDICA, Jack;USA;;Chicago, Illinois;USA
200m freestyle;Men;12/02/1944;2:06.2;SMITH, Bill;USA;;Columbus, Ohio;USA
200m freestyle;Men;20/09/1946;2:05.4;JANY, Alex;FRA;;Marseille;FRA
200m freestyle;Men;31/03/1950;2:04.6;MARSHALL, John;AUS;Yale University Swim Carnival;New Haven, Connecticut;USA
200m freestyle;Men;27/02/1954;2:03.9;KONNO, Ford;USA;;Columbus, Ohio;USA
200m freestyle;Men;04/03/1955;2:03.4;WARDROP, Jack;GBR;;Columbus, Ohio;USA
200m freestyle;Men;08/03/1957;2:01.5;HANLEY, Dick;USA;;Minneapolis, Minnesota;USA
200m freestyle;Men;18/01/1958;2:04.8;KONRADS, John;AUS;;Sydney, New South Wales;AUS
200m freestyle;Men;05/05/1958;2:03.2;KONRADS, John;AUS;;Sydney, New South Wales;AUS
200m freestyle;Men;22/08/1958;2:03.0;YAMANAKA, Tsuyoshi;JPN;;Osaka;JPN
200m freestyle;Men;16/01/1959;2:02.2;KONRADS, John;AUS;;Sydney, New South Wales;AUS
200m freestyle;Men;26/07/1959;2:01.5;YAMANAKA, Tsuyoshi;JPN;;Osaka;JPN
200m freestyle;Men;24/06/1961;2:01.2;YAMANAKA, Tsuyoshi;JPN;;Osaka;JPN
200m freestyle;Men;06/08/1961;2:01.1;YAMANAKA, Tsuyoshi;JPN;;Tokyo;JPN
200m freestyle;Men;20/08/1961;2:00.4;YAMANAKA, Tsuyoshi;JPN;Men's NAAA Championships;Los Angeles, California;USA
200m freestyle;Men;11/08/1962;2:00.4;SCHOLLANDER, Don;USA;AAU Championships;Cuyahoga Falls, Ohio;USA
200m freestyle;Men;21/04/1963;2:00.3;WINDLE, Robert;AUS;;Tokyo;JPN
200m freestyle;Men;27/07/1963;1:58.8;SCHOLLANDER, Don;USA;5th Annual Los Angeles Invitiational;Los Angeles, California;USA
200m freestyle;Men;17/08/1963;1:58.5;SCHOLLANDER, Don;USA;6th US-Japan Dual Meet;Tokyo;JPN
200m freestyle;Men;24/08/1963;1:58.4;SCHOLLANDER, Don;USA;;Osaka;JPN
200m freestyle;Men;24/05/1964;1:58.2;KLEIN, Hans-Joachim;FRG;;Dortmund;FRG
200m freestyle;Men;01/08/1964;1:57.6;SCHOLLANDER, Don;USA;USA Summer Nationals;Los Altos, California;USA
200m freestyle;Men;29/07/1966;1:57.2;SCHOLLANDER, Don;USA;;Los Angeles, California;USA
200m freestyle;Men;19/08/1966;1:56.2;SCHOLLANDER, Don;USA;AAU Championships;Lincoln, Nebraska;USA
200m freestyle;Men;29/07/1967;1:56.0;SCHOLLANDER, Don;USA;Pan American Games;Winnipeg, Manitoba;CAN
200m freestyle;Men;12/08/1967;1:55.7;SCHOLLANDER, Don;USA;;Oak Park, California;USA
200m freestyle;Men;30/08/1968;1:54.89;SCHOLLANDER, Don;USA;USA Olympic Trials;Long Beach, California;USA
200m freestyle;Men;30/08/1968;1:54.28;SCHOLLANDER, Don;USA;USA Olympic Trials;Long Beach, California;USA
200m freestyle;Men;12/07/1969;1:54.3;SPITZ, Mark;USA;Santa Clara Invitational;Santa Clara, California;USA
200m freestyle;Men;04/09/1971;1:54.2;SPITZ, Mark;USA;USA v GDR Dual Meet;Leipzig;GDR
200m freestyle;Men;10/09/1971;1:53.5;SPITZ, Mark;USA;USA v URS v GBR Tri-Meet;Minsk, Belorussia;URS
200m freestyle;Men;29/08/1972;1:52.78;SPITZ, Mark;USA;Olympic Games;München, Bavaria;FRG
200m freestyle;Men;23/08/1974;1:51.66;SHAW, Tim;USA;AAU Championships;Concord, California;USA
200m freestyle;Men;18/06/1975;1:51.41;FURNISS, Bruce;USA;USA World Championship Trials;Long Beach, California;USA
200m freestyle;Men;18/06/1975;1:50.89;FURNISS, Bruce;USA;USA World Championship Trials;Long Beach, California;USA
200m freestyle;Men;21/08/1975;1:50.32;FURNISS, Bruce;USA;AAU Championships;Kansas City, Missouri;USA
200m freestyle;Men;19/07/1976;1:50.29;FURNISS, Bruce;USA;Olympic Games;Montréal, Québec;CAN
200m freestyle;Men;07/04/1979;1:49.83;KOPLIAKOV, Sergei;URS;URS v GDR Junior Meet;Potsdam;GDR
200m freestyle;Men;11/04/1980;1:49.16;GAINES, Rowdy;USA;USA Spring Nationals;Austin, Texas;USA
200m freestyle;Men;19/07/1982;1:48.93;GAINES, Rowdy;USA;USA World Championship Trials;Mission Viejo, California;USA
200m freestyle;Men;21/06/1983;1:48.28;GROSS, Michael;FRG;FRG Nationals & European Championship Trials;Hanover;FRG
200m freestyle;Men;22/08/1983;1:47.87;GROSS, Michael;FRG;European Championships;Roma, Lazio;ITA
200m freestyle;Men;08/06/1984;1:47.55;GROSS, Michael;FRG;FRG Olympic Trials;München, Bavaria;FRG
200m freestyle;Men;29/07/1984;1:47.44;GROSS, Michael;FRG;Olympic Games;Los Angeles, California;USA
200m freestyle;Men;19/09/1988;1:47.25;ARMSTRONG, Duncan;AUS;Olympic Games;Seoul;KOR
200m freestyle;Men;15/08/1989;1:46.69;LAMBERTI, Giorgio;ITA;European Championships;Bonn;FRG
200m freestyle;Men;23/03/1999;1:46.67;HACKETT, Grant;AUS;Australian Championships;Brisbane, Queensland;AUS
200m freestyle;Men;23/08/1999;1:46.34;THORPE, Ian;AUS;Pan Pacific Championships;Sydney, New South Wales;AUS
200m freestyle;Men;24/08/1999;1:46.00;THORPE, Ian;AUS;Pan Pacific Championships;Sydney, New South Wales;AUS
200m freestyle;Men;14/05/2000;1:45.69;THORPE, Ian;AUS;Australian Olympic Trials;Sydney, New South Wales;AUS
200m freestyle;Men;15/05/2000;1:45.51;THORPE, Ian;AUS;Australian Olympic Trials;Sydney, New South Wales;AUS
200m freestyle;Men;17/09/2000;1:45.35;VAN DEN HOOGENBAND, Pieter;NED;Olympic Games;Sydney, New South Wales;AUS
200m freestyle;Men;18/09/2000;1:45.35;VAN DEN HOOGENBAND, Pieter;NED;Olympic Games;Sydney, New South Wales;AUS
200m freestyle;Men;27/03/2001;1:44.69;THORPE, Ian;AUS;Australian Championships & World Championship Trials;Hobart, Tasmania;AUS
200m freestyle;Men;25/07/2001;1:44.06;THORPE, Ian;AUS;World Championships;Fukuoka, Fukuoka;JPN
200m freestyle;Men;27/03/2007;1:43.86;PHELPS, Michael;USA;World Championships;Melbourne, Victoria;AUS
200m freestyle;Men;12/08/2008;1:42.96;PHELPS, Michael;USA;Olympic Games;Beijing;CHN
200m freestyle;Men;28/07/2009;1:42.00;BIEDERMANN, Paul;GER;World Championships;Roma, Lazio;ITA
400m freestyle;Men;16/07/1908;5:36.8;TAYLOR, Henry;GBR;Olympic Games;London, Greater London, England;GBR
400m freestyle;Men;21/09/1911;5:35.8;BATTERSBY, Sydney;GBR;;London, Greater London, England;GBR
400m freestyle;Men;21/04/1912;5:29.0;KENYERY, Alajos;HUN;;Magdeburg, Magdeburg;GER
400m freestyle;Men;05/06/1912;5:28.4;LAS-TORRES, Bela;HUN;;Budapest;HUN
400m freestyle;Men;14/07/1912;5:24.4;HODGSON, George;CAN;Olympic Games;Stockholm;SWE
400m freestyle;Men;26/09/1912;5:21.6;HATFIELD, Jack;GBR;;London, Greater London, England;GBR
400m freestyle;Men;09/10/1919;5:14.6;ROSS, Norman;USA;;Los Angeles, California;USA
400m freestyle;Men;25/09/1921;5:14.4;ROSS, Norman;USA;;Brighton Beach, New York;USA
400m freestyle;Men;09/04/1922;5:11.8;BORG, Arne;SWE;;Stockholm;SWE
400m freestyle;Men;22/06/1922;5:06.6;WEISSMULLER, Johnny;USA;;Honolulu, Hawaii;USA
400m freestyle;Men;06/03/1923;4:57.0;WEISSMULLER, Johnny;USA;;New Haven, Connecticut;USA
400m freestyle;Men;09/12/1924;4:54.7;BORG, Arne;SWE;;Stockholm;SWE
400m freestyle;Men;11/09/1925;4:50.3;BORG, Arne;SWE;;Stockholm;SWE
400m freestyle;Men;16/04/1931;4:47.0;TARIS, Jean;FRA;;Paris;FRA
400m freestyle;Men;14/08/1933;4:46.4;MAKINO, Shozo;JPN;;Tokyo;JPN
400m freestyle;Men;30/08/1934;4:38.7;MEDICA, Jack;USA;;Honolulu, Hawaii;USA
400m freestyle;Men;13/05/1941;4:38.5;SMITH, Bill;USA;;Honolulu, Hawaii;USA
400m freestyle;Men;12/09/1947;4:35.2;JANY, Alex;FRA;;Monte Carlo;MON
400m freestyle;Men;24/07/1949;4:34.6;FURUHASHI, Hironoshin;JPN;;Tokyo;JPN
400m freestyle;Men;18/08/1949;4:33.3;FURUHASHI, Hironoshin;JPN;;Los Angeles, California;USA
400m freestyle;Men;11/03/1950;4:33.1;MARSHALL, John;AUS;;New Haven, Connecticut;USA
400m freestyle;Men;01/04/1950;4:29.5;MARSHALL, John;AUS;;New Haven, Connecticut;USA
400m freestyle;Men;24/03/1951;4:26.9;MARSHALL, John;AUS;Yale University Swim Carnival;New Haven, Connecticut;USA
400m freestyle;Men;03/04/1954;4:26.7;KONNO, Ford;USA;AAU Championships;New Haven, Connecticut;USA
400m freestyle;Men;27/10/1956;4:27.0;ROSE, Murray;AUS;Australian Olympic Trials;Melbourne, Victoria;AUS
400m freestyle;Men;12/01/1957;4:25.9;ROSE, Murray;AUS;;Sydney, New South Wales;AUS
400m freestyle;Men;15/01/1958;4:25.9;KONRADS, John;AUS;;Sydney, New South Wales;AUS
400m freestyle;Men;12/01/1959;4:21.8;KONRADS, John;AUS;;Melbourne, Victoria;AUS
400m freestyle;Men;07/02/1959;4:19.0;KONRADS, John;AUS;;Sydney, New South Wales;AUS
400m freestyle;Men;26/07/1959;4:16.6;YAMANAKA, Tsuyoshi;JPN;;Osaka;JPN
400m freestyle;Men;23/02/1960;4:15.9;KONRADS, John;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS
400m freestyle;Men;17/08/1962;4:13.4;ROSE, Murray;AUS;;Chicago, Illinois;USA
400m freestyle;Men;31/07/1964;4:12.7;SCHOLLANDER, Don;USA;USA Summer Nationals;Los Altos, California;USA
400m freestyle;Men;15/10/1964;4:12.2;SCHOLLANDER, Don;USA;Olympic Games;Tokyo;JPN
400m freestyle;Men;18/08/1966;4:11.8;NELSON, John;USA;AAU Championships;Lincoln, Nebraska;USA
400m freestyle;Men;18/08/1966;4:11.6;SCHOLLANDER, Don;USA;AAU Championships;Lincoln, Nebraska;USA
400m freestyle;Men;25/08/1966;4:11.1;WIEGAND, Frank;GDR;;Utrecht;NED
400m freestyle;Men;25/06/1967;4:10.6;SPITZ, Mark;USA;15th Annual Swimming Relays;Haywood, California;USA
400m freestyle;Men;02/07/1967;4:10.6;MOSCONI, Alain;FRA;;Monte Carlo;MON
400m freestyle;Men;04/07/1967;4:09.2;MOSCONI, Alain;FRA;;Monte Carlo;MON
400m freestyle;Men;07/07/1967;4:08.8;SPITZ, Mark;USA;Santa Clara Invitational;Santa Clara, California;USA
400m freestyle;Men;28/08/1967;4:08.2;CHARLTON, Greg;USA;World University Games;Tokyo;JPN
400m freestyle;Men;23/06/1968;4:07.7;SPITZ, Mark;USA;16th Annual Swimming Relays;Haywood, California;USA
400m freestyle;Men;01/08/1968;4:06.5;HUTTON, Ralph;CAN;AAU Championships;Lincoln, Nebraska;USA
400m freestyle;Men;14/08/1969;4:04.0;FASSNACHT, Hans-Joachim;FRG;AAU Championships;Louisville, Kentucky;USA
400m freestyle;Men;20/08/1970;4:02.81;KINSELLA, John;USA;AAU Championships;Los Angeles, California;USA
400m freestyle;Men;07/09/1970;4:02.6;LARSSON, Karl;SWE;European Championships;Barcelona;ESP
400m freestyle;Men;25/08/1971;4:02.08;MCBREEN, Tom;USA;AAU Championships;Houston, Texas;USA
400m freestyle;Men;12/02/1972;4:01.7;COOPER, Brad;AUS;Australian Championships & Olympic Trials;Brisbane, Queensland;AUS
400m freestyle;Men;04/08/1972;4:00.11;KRUMPHOLZ, Kurt;USA;USA Olympic Trials;Chicago, Illinois;USA
400m freestyle;Men;09/09/1973;3:58.188;DEMONT, Rick;USA;World Championships;Beograd (Belgrade);YUG
400m freestyle;Men;22/08/1974;3:56.96;SHAW, Tim;USA;AAU Championships;Concord, California;USA
400m freestyle;Men;22/08/1974;3:54.69;SHAW, Tim;USA;AAU Championships;Concord, California;USA
400m freestyle;Men;19/06/1975;3:53.95;SHAW, Tim;USA;USA World Championship Trials;Long Beach, California;USA
400m freestyle;Men;20/08/1975;3:53.31;SHAW, Tim;USA;AAU Championships;Kansas City, Missouri;USA
400m freestyle;Men;18/06/1976;3:53.08;GOODELL, Brian;USA;USA Olympic Trials;Long Beach, California;USA
400m freestyle;Men;22/07/1976;3:51.93;GOODELL, Brian;USA;Olympic Games;Montréal, Québec;CAN
400m freestyle;Men;27/08/1978;3:51.56;GOODELL, Brian;USA;USA v GDR Dual Meet;Berlin;FRG
400m freestyle;Men;06/04/1979;3:51.41;SALNIKOV, Vladimir;URS;URS v GDR Junior Meet;Potsdam;GDR
400m freestyle;Men;19/08/1979;3:51.40;SALNIKOV, Vladimir;URS;URS v CAN Dual Meet;Moskva (Moscow);URS
400m freestyle;Men;29/02/1980;3:51.20;SALNIKOV, Vladimir;URS;URS Winter Nationals;Potsdam;GDR
400m freestyle;Men;15/07/1980;3:50.49;SZMIDT, Peter;CAN;Canadian Nationals & Olympic Trials;Etobicoke, Ontario;CAN
400m freestyle;Men;12/03/1982;3:49.57;SALNIKOV, Vladimir;URS;URS v GDR Dual Meet;Moskva (Moscow);URS
